Date,Open,High,Low,Close,Adj Close,Volume,oc_diff,symbol,Name
2018-03-29,7979.06982421875,7994.330078125,7081.3798828125,7165.7001953125,7165.7001953125,6361229824,-813.36962890625,BTC,Bitcoin
2018-03-30,7171.4501953125,7276.66015625,6683.93017578125,6890.52001953125,6890.52001953125,6289509888,-280.93017578125,BTC,Bitcoin
2018-03-31,6892.47998046875,7207.85009765625,6863.52001953125,6973.52978515625,6973.52978515625,4553269760,81.0498046875,BTC,Bitcoin
2018-04-01,7003.06005859375,7060.9501953125,6526.8701171875,6844.22998046875,6844.22998046875,4532100096,-158.830078125,BTC,Bitcoin
2018-04-02,6844.85986328125,7135.47021484375,6816.580078125,7083.7998046875,7083.7998046875,4333440000,238.93994140625,BTC,Bitcoin
2018-04-03,7102.259765625,7530.93994140625,7072.490234375,7456.10986328125,7456.10986328125,5499700224,353.85009765625,BTC,Bitcoin
2018-04-04,7456.41015625,7469.8798828125,6803.8798828125,6853.83984375,6853.83984375,4936000000,-602.5703125,BTC,Bitcoin
2018-04-05,6848.64990234375,6933.81982421875,6644.7998046875,6811.47021484375,6811.47021484375,5639320064,-37.1796875,BTC,Bitcoin
2018-04-06,6815.9599609375,6857.490234375,6575.0,6636.31982421875,6636.31982421875,3766810112,-179.64013671875,BTC,Bitcoin
2018-04-07,6630.509765625,7050.5400390625,6630.509765625,6911.08984375,6911.08984375,3976610048,280.580078125,BTC,Bitcoin
2018-04-08,6919.97998046875,7111.56005859375,6919.97998046875,7023.52001953125,7023.52001953125,3652499968,103.5400390625,BTC,Bitcoin
2018-04-09,7044.31982421875,7178.10986328125,6661.990234375,6770.72998046875,6770.72998046875,4894060032,-273.58984375,BTC,Bitcoin
2018-04-10,6795.43994140625,6872.41015625,6704.14990234375,6834.759765625,6834.759765625,4272750080,39.31982421875,BTC,Bitcoin
2018-04-11,6843.47021484375,6968.31982421875,6817.58984375,6968.31982421875,6968.31982421875,4641889792,124.849609375,BTC,Bitcoin
2018-04-12,6955.3798828125,7899.22998046875,6806.509765625,7889.25,7889.25,8906250240,933.8701171875,BTC,Bitcoin
2018-04-13,7901.08984375,8183.9599609375,7758.93017578125,7895.9599609375,7895.9599609375,7764460032,-5.1298828125,BTC,Bitcoin
2018-04-14,7874.669921875,8140.7099609375,7846.0,7986.240234375,7986.240234375,5191430144,111.5703125,BTC,Bitcoin
2018-04-15,7999.330078125,8338.419921875,7999.330078125,8329.1103515625,8329.1103515625,5244480000,329.7802734375,BTC,Bitcoin
2018-04-16,8337.5703125,8371.150390625,7925.72998046875,8058.669921875,8058.669921875,5631309824,-278.900390625,BTC,Bitcoin
2018-04-17,8071.66015625,8285.9599609375,7881.72021484375,7902.08984375,7902.08984375,6900879872,-169.5703125,BTC,Bitcoin
2018-04-18,7944.43017578125,8197.7998046875,7886.009765625,8163.419921875,8163.419921875,6529909760,218.98974609375,BTC,Bitcoin
2018-04-19,8159.27001953125,8298.6904296875,8138.77978515625,8294.3095703125,8294.3095703125,7063209984,135.03955078125,BTC,Bitcoin
2018-04-20,8286.8798828125,8880.23046875,8244.5400390625,8845.830078125,8845.830078125,8438110208,558.9501953125,BTC,Bitcoin
